H,Sl,P,T,D,S
-0.16329141921349513,-1.1041383040778512,-0.5701789951104382,0.08224415655562878,0.1434914062670479,5
1.44560530353405,0.18443227117706312,0.7658357347598262,-1.278518096549688,-1.3361614641021136,9
-0.3175900750937876,-0.7881199829593871,-0.21502578855145843,0.0822434178561196,0.914730945344468,1
-0.017777749731586242,1.5194056418435917,0.6942062273273056,0.004486756740744191,-0.5406376906173126,1
0.5650958104131273,-0.12291087005951637,0.47632581859846573,-0.6953350124897757,-0.16191648112245974,1
0.6041000347115582,-0.1088051203340111,0.6973988112346571,-0.46206059694659724,-0.6674934817680522,3
-0.14446541468893626,0.24365483688141237,-0.0015348160693750628,0.16000155637051197,-0.07639923955851345,1
-0.6476251677241374,-0.0011313190377482277,-0.3900084785105339,0.5487907715434597,0.655610947527149,1
1.2883491401230367,-0.644607617349073,0.9049040555163083,-1.2007599580352957,-1.3497964497302357,8
0.08808876637407201,1.1734553333154294,0.7163536172026925,-0.11215045103084506,-0.32962277223827396,2
0.23705039080864843,-1.260648628146554,0.7630421016322764,-0.18990858954523882,-1.3262168557847658,3
-1.9404222727069715,-1.0851765550630428,-1.8818514942745095,2.1817050320501337,1.3408988286780326,2
1.548596729764825,0.8733035479486266,1.5771011368910617,-1.3562762350640818,-1.5401247288465885,5
0.6383688590450437,1.8199110585122396,1.2073825606108028,-0.5786978047181864,-1.10909268243917,7
-2.134878780139735,-1.2796616963423433,-1.8822505687593605,2.259463170564527,1.68062268953992,2
1.0031990485700117,2.3328018778043655,1.1792499313694527,-1.1230032969199202,-1.3010002914027186,1
-1.2527743632609967,-0.8043075018374818,-1.440504021106006,1.4430064096609456,0.5380408457206527,0
0.3951757341248501,0.4510067219258339,-0.417542925999416,-0.7342140817469726,0.5752727889554956,1
-0.6455797257088938,-0.9545846459408617,-0.7339883756431084,0.5099117022862627,1.073733096441665,1
1.400499698155677,1.1521435684093062,0.5900546544066784,-1.3173971658068848,-1.2761463222640272,10
-0.3790108567910556,-1.1645385521070015,-0.10249405049750658,0.47103337172857646,0.25124810790447927,0
-1.2547573297356862,-0.10037156974671015,-1.5719903237036226,1.3263699405888656,1.3962167728922732,1
0.8305531874579443,0.27201967793228704,0.8105289764559327,-0.8119714815618572,-0.01597023084394525,2
0.7272984476974916,0.15904757796414165,0.9148802691836954,-0.5786978047181864,-0.029438149209258708,1
-0.8994813287630276,-1.1466844241600902,-0.864676774685879,0.6265481713583428,1.1127228414361678,1
-0.9743266672220249,0.3845046734473668,-1.2252172822779672,0.743186117829444,1.37742756922008,1
