run,equation,complexity,train,test,skeleton,loo_tss
1,0.98 - 2.05*D,3,0.4798850574712645,0.0833333333333332,C - C*D,0.4504504504504503
1,-2.03*D + 0.19*Sl + 0.67,5,0.4798850574712645,0.0833333333333332,C*D + C*Sl + C,0.5837837837837838
1,-2.83*D + 0.22*Sl + 0.6*T - 2.8,7,0.5287356321839081,0.0833333333333332,C*D + C*Sl + C*T - C,0.49009009009008997
1,-2.69*D - 1.21*H + 0.71*P + 0.25*Sl + 1.51,9,0.5632183908045976,0.4166666666666665,C*D - C*H + C*P + C*Sl + C,0.3423423423423424
1,-2.67*D - 1.42*H + 0.73*P + 0.25*Sl - 0.19*T + 3.13,11,0.5632183908045976,0.4166666666666665,C*D - C*H + C*P + C*Sl - C*T + C,0.40900900900900883
2,0.54 - 1.75*D,3,0.4454022988505746,0.3333333333333332,C - C*D,0.4504504504504503
2,-2.04*D - 0.22*P + 1.41,5,0.4454022988505746,0.3333333333333332,C*D - C*P + C,0.38378378378378386
2,-2.02*D + 0.07*H - 0.26*P + 1.4,7,0.4454022988505746,0.3333333333333332,C*D + C*H - C*P + C,0.39639639639639634
2,-2.13*D + 1.6*H - 0.42*P + 1.41*T - 9.6,9,0.4798850574712645,0.3333333333333332,C*D + C*H - C*P + C*T - C,0.36936936936936937
2,-2.12*D + 1.74*H - 0.4*P + 0.04*Sl + 1.59*T - 11.04,11,0.4454022988505746,0.3333333333333332,C*D + C*H - C*P + C*Sl + C*T - C,0.40900900900900883
3,0.6 - 1.5*D,3,0.3666666666666667,0.5238095238095237,C - C*D,0.4504504504504503
3,-2.6*D + 0.99*T - 4.8,5,0.3333333333333335,0.5714285714285714,C*D + C*T - C,0.5567567567567568
3,-2.89*D - 0.2*Sl + 1.15*T - 5.23,7,0.3999999999999999,0.5714285714285714,C*D - C*Sl + C*T - C,0.49009009009008997
3,-3.05*D - 2.01*H + 0.8*P - 0.27*Sl + 4.3,9,0.3666666666666667,0.2380952380952381,C*D - C*H + C*P - C*Sl + C,0.3423423423423424
3,-3.06*D - 1.6*H + 0.75*P - 0.26*Sl + 0.41*T + 0.9,11,0.3666666666666667,0.2380952380952381,C*D - C*H + C*P - C*Sl + C*T + C,0.40900900900900883
4,0.68 - 1.68*D,3,0.4500000000000002,0.5238095238095237,C - C*D,0.4504504504504503
4,-1.98*D + 0.24*T - 0.86,5,0.4500000000000002,0.5238095238095237,C*D + C*T - C,0.5567567567567568
4,-1.98*D + 0.62*H + 0.85*T - 6.86,7,0.4500000000000002,0.5238095238095237,C*D + C*H + C*T - C,0.5027027027027029
4,-1.98*D + 0.87*H + 0.06*Sl + 1.11*T - 9.42,9,0.4166666666666667,0.5238095238095237,C*D + C*H + C*Sl + C*T - C,0.40900900900900883
4,-1.98*D + 0.88*H + 0.06*Sl + 1.11*T - 9.43,9,0.4166666666666667,0.5238095238095237,C*D + C*H + C*Sl + C*T - C,0.40900900900900883
5,0.82 - 1.83*D,3,0.4500000000000002,0.5238095238095237,C - C*D,0.4504504504504503
5,-1.76*D + 0.17*Sl + 0.54,5,0.4500000000000002,0.5238095238095237,C*D + C*Sl + C,0.5837837837837838
5,-2.33*D + 0.22*Sl + 0.49*T - 2.8,7,0.4500000000000002,0.5238095238095237,C*D + C*Sl + C*T - C,0.49009009009008997
5,-2.32*D + 0.23*H + 0.23*Sl + 0.71*T - 4.92,9,0.4500000000000002,0.5238095238095237,C*D + C*H + C*Sl + C*T - C,0.40900900900900883
5,-2.34*D + 0.38*H - 0.09*P + 0.23*Sl + 0.79*T - 5.62,11,0.4500000000000002,0.5238095238095237,C*D + C*H - C*P + C*Sl + C*T - C,0.40900900900900883
